Timestamp,Sample,REG_6D,TIA1-3_RAW,TIA1-3_VALUE,TIA1-5_RAW,TIA1-5_VALUE,TIA1-8_RAW,TIA1-8_VALUE,TIA1-10_RAW,TIA1-10_VALUE
0.000000,0,0x00001F,1001119,0.572845,1311916,0.750684,998004,0.571063,629354,0.360119
390.625000,1,0x00001F,1001081,0.572823,1312084,0.750781,997981,0.571049,629436,0.360166
781.250000,2,0x00001F,1001106,0.572837,1312148,0.750817,997943,0.571028,629467,0.360184
1171.875000,3,0x00001F,1001168,0.572873,1312143,0.750814,998023,0.571073,629601,0.360261
1562.500000,4,0x00001F,1001066,0.572815,1312094,0.750786,997995,0.571057,629492,0.360198
1953.125000,5,0x00001F,1001154,0.572865,1312191,0.750842,997914,0.571011,629356,0.360120
2343.750000,6,0x00001F,1001083,0.572824,1312152,0.750819,998000,0.571060,629433,0.360164
2734.375000,7,0x00001F,1001030,0.572794,1311914,0.750683,998001,0.571061,629399,0.360145
3125.000000,8,0x00001F,1001140,0.572857,1312052,0.750762,997954,0.571034,629413,0.360153
3515.625000,9,0x00001F,1001142,0.572858,1312173,0.750831,997921,0.571015,629316,0.360098
3906.250000,10,0x00001F,1001164,0.572871,1312207,0.750851,997950,0.571032,629385,0.360137
4296.875000,11,0x00001F,1001202,0.572892,1312095,0.750787,998008,0.571065,629349,0.360116
4687.500000,12,0x00001F,1001129,0.572851,1312194,0.750843,997945,0.571029,629329,0.360105
5078.125000,13,0x00001F,1001200,0.572891,1311917,0.750685,997864,0.570982,629338,0.360110
5468.750000,14,0x00001F,1001126,0.572849,1312114,0.750798,997980,0.571049,629320,0.360100
5859.375000,15,0x00001F,1000928,0.572736,1312051,0.750762,997966,0.571041,629287,0.360081
6250.000000,16,0x00001F,1001179,0.572879,1312098,0.750789,998020,0.571072,629428,0.360162
6640.625000,17,0x00001F,1001283,0.572939,1311882,0.750665,997833,0.570965,629300,0.360088
7031.250000,18,0x00001F,1001213,0.572899,1312001,0.750733,997926,0.571018,629561,0.360238
7421.875000,19,0x00001F,1001155,0.572865,1312046,0.750759,998016,0.571069,629262,0.360067
7812.500000,20,0x00001F,1001156,0.572866,1311993,0.750728,998410,0.571295,629228,0.360047
