Timestamp,Sample,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z
103750,83,-0.017395,0.057800,-0.999573,-0.030518,0.007629,0.213623
105000,84,-0.015686,0.059631,-1.001343,0.144958,0.190735,-0.007629
106250,85,-0.015137,0.056396,-1.000427,0.198364,0.213623,-0.083923
107500,86,-0.014893,0.057251,-1.000671,0.122070,0.328064,0.030518
108750,87,-0.017273,0.058411,-0.999390,0.045776,0.198364,0.167847
110000,88,-0.015015,0.057434,-1.000000,0.099182,0.114441,-0.167847
111250,89,-0.014893,0.058105,-0.995483,0.144958,0.045776,-0.106812
112500,90,-0.015442,0.056702,-0.998230,0.000000,-0.015259,-0.007629
113750,91,-0.012817,0.053345,-0.997864,-0.007629,0.144958,-0.198364
115000,92,-0.012207,0.056580,-0.998230,-0.038147,-0.007629,0.068665
116250,93,-0.016602,0.055969,-0.997070,0.167847,0.000000,0.122070
117500,94,-0.016968,0.058655,-0.997803,0.106812,0.083923,0.236511
118750,95,-0.016418,0.057922,-1.000427,0.274658,-0.007629,0.335693
120000,96,-0.014465,0.055298,-0.995850,-0.076294,0.137329,0.152588
121250,97,-0.013550,0.056641,-0.998474,-0.114441,-0.022888,-0.099182
122500,98,-0.017944,0.057007,-0.998291,0.228882,0.015259,0.205994
123750,99,-0.013367,0.057678,-1.001770,0.236511,0.122070,0.244141
125000,100,-0.011353,0.058533,-1.000732,0.114441,0.144958,0.251770
126250,101,-0.014465,0.060059,-0.997620,-0.114441,0.343323,-0.076294
127500,102,-0.015076,0.053650,-1.004883,0.106812,0.213623,-0.068665
128750,103,-0.021301,0.055786,-1.000854,0.076294,0.236511,0.061035
130000,104,-0.011108,0.059753,-1.002625,0.167847,0.267029,0.114441
131250,105,-0.013794,0.059143,-0.999451,0.129700,0.038147,-0.167847
132500,106,-0.017212,0.056030,-0.997498,-0.045776,0.190735,-0.076294
133750,107,-0.015198,0.058105,-0.995605,0.068665,0.099182,0.152588
135000,108,-0.013062,0.061951,-1.000366,0.251770,0.297546,0.213623
136250,109,-0.015930,0.055298,-1.002808,0.122070,0.129700,0.022888
137500,110,-0.013428,0.059265,-1.003845,0.289917,0.221252,-0.244141
138750,111,-0.015137,0.054626,-1.002930,0.175476,0.099182,-0.068665
140000,112,-0.013306,0.057495,-0.996826,0.030518,0.251770,-0.137329
