Timestamp,Sample,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z
0,0,0.036377,-0.005737,-1.001099,0.030518,0.175476,0.076294
1250,1,0.037354,-0.003357,-1.002991,0.015259,0.198364,0.000000
2500,2,0.031738,-0.009827,-1.003296,0.099182,0.305176,0.068665
3750,3,0.034302,-0.011475,-1.000183,0.167847,0.282288,0.038147
5000,4,0.035095,0.005249,-0.960571,0.083923,0.061035,0.114441
6250,5,0.041626,0.001282,-0.968506,-0.289917,0.030518,-0.137329
7500,6,0.041992,-0.018738,-0.983459,-0.274658,0.343323,-0.015259
8750,7,0.030579,-0.007446,-0.967896,0.274658,0.267029,-0.129700
10000,8,0.030762,-0.003540,-1.020020,-0.152588,0.137329,0.038147
11250,9,0.034119,-0.004395,-1.084167,-0.785828,0.236511,0.083923
12500,10,0.037170,-0.000610,-1.089661,-0.579834,0.419617,-0.045776
13750,11,0.026611,-0.002991,-1.132690,0.610352,0.663757,0.015259
15000,12,0.028076,0.000000,-1.029602,1.029968,0.549316,0.160217
16250,13,0.036621,-0.011108,-0.958435,1.228333,0.625610,-0.083923
17500,14,0.044617,-0.011780,-0.872314,1.564026,0.366211,0.007629
18750,15,0.039551,-0.013062,-0.886597,1.220703,-0.083923,0.007629
20000,16,0.033386,-0.014771,-0.913147,-0.236511,-0.137329,-0.152588
21250,17,0.041016,-0.011902,-0.960144,-1.228333,0.045776,0.015259
22500,18,0.031372,-0.007812,-1.051025,-1.579285,0.068665,0.045776
23750,19,0.032166,-0.001648,-1.085144,-1.419067,-0.152588,0.221252
25000,20,0.031921,0.000549,-1.079346,-0.877380,-0.061035,0.144958
26250,21,0.034607,-0.006104,-1.085571,-0.404358,0.053406,0.198364
27500,22,0.029602,-0.001099,-1.049927,0.434875,0.419617,0.274658
28750,23,0.036194,-0.002563,-1.014709,0.778198,0.686646,0.106812
30000,24,0.037537,-0.006165,-0.984497,0.938416,0.511169,-0.114441
31250,25,0.033875,-0.007690,-0.954041,0.900269,0.328064,0.007629
32500,26,0.036316,-0.010071,-0.943848,0.778198,0.518799,-0.007629
33750,27,0.037903,-0.009583,-0.951477,0.450134,0.114441,-0.038147
35000,28,0.036133,-0.010742,-0.959900,-0.099182,0.221252,-0.236511
36250,29,0.032959,-0.008545,-1.004578,-0.350952,-0.198364,-0.129700
37500,30,0.034241,-0.007874,-1.026428,-0.701904,-0.198364,-0.282288
38750,31,0.032593,-0.003662,-1.028259,-0.671387,0.038147,0.068665
40000,32,0.030884,-0.005188,-1.033630,-0.473022,0.221252,-0.007629
41250,33,0.036438,-0.003113,-1.021362,-0.160217,0.289917,0.045776
42500,34,0.039490,-0.004944,-1.007874,0.160217,0.213623,0.061035
43750,35,0.037048,0.000305,-1.006226,0.411987,0.427246,-0.152588
45000,36,0.030945,-0.004150,-1.012268,0.526428,0.328064,-0.007629
46250,37,0.030945,-0.003601,-1.013733,0.328064,0.320435,0.022888
47500,38,0.035400,-0.007324,-1.008362,0.625610,0.518799,-0.213623
48750,39,0.039734,-0.008240,-0.997864,0.625610,0.457764,-0.045776
